epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,973.177,0.48204,0.28575,0.79239,0.99135,0.97841,0.98569,0.83784,0.5574,0.29294,0.79273,0.000566027,0.000566027,0.000566027
63,988.686,0.47819,0.28409,0.79245,0.98776,0.97705,0.98582,0.83897,0.55925,0.30165,0.789,0.00055188,0.00055188,0.00055188
64,1004.24,0.47257,0.28144,0.79145,0.99269,0.97895,0.98639,0.84352,0.5464,0.2908,0.7913,0.000537733,0.000537733,0.000537733
65,1019.82,0.48391,0.2837,0.79284,0.99237,0.97755,0.98591,0.84782,0.54303,0.29902,0.79112,0.000523586,0.000523586,0.000523586
66,1035.48,0.47941,0.28213,0.79691,0.99435,0.97541,0.9862,0.83324,0.58237,0.29214,0.79763,0.000509438,0.000509438,0.000509438
67,1051.01,0.48103,0.28148,0.79102,0.99095,0.97741,0.98618,0.84811,0.53723,0.28611,0.79227,0.000495291,0.000495291,0.000495291
68,1066.71,0.4762,0.27968,0.78997,0.99082,0.9793,0.98602,0.84075,0.55098,0.29074,0.79173,0.000481144,0.000481144,0.000481144
69,1082.3,0.47024,0.27778,0.79379,0.99256,0.97648,0.98573,0.85115,0.52887,0.28464,0.78681,0.000466997,0.000466997,0.000466997
70,1097.88,0.4641,0.27425,0.7942,0.98727,0.97741,0.98569,0.8398,0.56922,0.28908,0.7946,0.00045285,0.00045285,0.00045285
71,1113.46,0.47348,0.27565,0.79026,0.99064,0.97524,0.9861,0.85633,0.53859,0.28144,0.79016,0.000438703,0.000438703,0.000438703
72,1129.14,0.46469,0.27486,0.7863,0.98954,0.97274,0.9854,0.85206,0.51825,0.28201,0.78698,0.000424556,0.000424556,0.000424556
73,1144.69,0.46158,0.26795,0.78616,0.99263,0.97841,0.98666,0.84785,0.54164,0.28286,0.79512,0.000410409,0.000410409,0.000410409
74,1160.27,0.46217,0.27382,0.79385,0.99386,0.97222,0.98596,0.84949,0.52931,0.28301,0.79089,0.000396262,0.000396262,0.000396262
75,1175.82,0.45782,0.26968,0.79051,0.9967,0.97936,0.98672,0.8519,0.52313,0.27664,0.78819,0.000382115,0.000382115,0.000382115
76,1191.6,0.45848,0.2667,0.78878,0.99333,0.97672,0.98682,0.84914,0.53212,0.27496,0.79137,0.000367967,0.000367967,0.000367967
77,1207.15,0.43485,0.26329,0.79212,0.99071,0.97715,0.98643,0.86045,0.51943,0.27527,0.78821,0.00035382,0.00035382,0.00035382
78,1222.75,0.45236,0.26081,0.78743,0.99228,0.97376,0.98547,0.84691,0.53431,0.27711,0.79001,0.000339673,0.000339673,0.000339673
79,1238.45,0.44955,0.2585,0.78665,0.99594,0.97652,0.98662,0.85537,0.51775,0.27014,0.78981,0.000325526,0.000325526,0.000325526
80,1254,0.44009,0.25666,0.78505,0.98835,0.97496,0.9857,0.84967,0.52627,0.27255,0.78818,0.000311379,0.000311379,0.000311379
81,1269.51,0.45868,0.26378,0.78824,0.99123,0.97807,0.98651,0.85502,0.51963,0.26835,0.78806,0.000297232,0.000297232,0.000297232
82,1285.05,0.42528,0.25443,0.78668,0.99337,0.97841,0.98717,0.85264,0.5251,0.26947,0.78779,0.000283085,0.000283085,0.000283085
83,1300.64,0.44363,0.25584,0.78503,0.99433,0.97827,0.98633,0.85689,0.51879,0.26645,0.78701,0.000268938,0.000268938,0.000268938
84,1316.19,0.44612,0.25343,0.78396,0.9947,0.97745,0.98668,0.84965,0.52124,0.26805,0.78801,0.000254791,0.000254791,0.000254791
85,1331.7,0.43738,0.25091,0.78521,0.99195,0.977,0.9865,0.85332,0.52815,0.2692,0.78982,0.000240644,0.000240644,0.000240644
86,1347.28,0.41764,0.24703,0.78698,0.9922,0.9777,0.98624,0.85757,0.50143,0.26161,0.78561,0.000226497,0.000226497,0.000226497
87,1362.87,0.42605,0.24769,0.78399,0.98903,0.97705,0.98589,0.85601,0.5104,0.26872,0.78708,0.000212349,0.000212349,0.000212349
88,1378.36,0.43093,0.24824,0.78975,0.99172,0.97847,0.9872,0.85832,0.50888,0.26479,0.78636,0.000198202,0.000198202,0.000198202
89,1393.92,0.42732,0.24414,0.78362,0.99563,0.97827,0.98699,0.85926,0.50844,0.26098,0.78586,0.000184055,0.000184055,0.000184055
90,1409.45,0.42402,0.24204,0.7812,0.99432,0.97897,0.98707,0.8576,0.50853,0.26426,0.78268,0.000169908,0.000169908,0.000169908
91,1426.5,0.40632,0.23693,0.77728,0.99372,0.96982,0.98645,0.84816,0.52206,0.26959,0.78552,0.000155761,0.000155761,0.000155761
92,1441.9,0.41035,0.23336,0.77616,0.98996,0.97656,0.98615,0.85761,0.50259,0.26159,0.78667,0.000141614,0.000141614,0.000141614
93,1457.25,0.40149,0.23349,0.77378,0.99441,0.97965,0.98699,0.85833,0.50655,0.26277,0.78534,0.000127467,0.000127467,0.000127467
94,1472.66,0.39944,0.22841,0.77843,0.99266,0.97705,0.98614,0.84638,0.51404,0.26334,0.78691,0.00011332,0.00011332,0.00011332
95,1488.14,0.39301,0.2268,0.77948,0.98757,0.97684,0.98585,0.85364,0.50765,0.25989,0.78512,9.91726e-05,9.91726e-05,9.91726e-05
96,1503.59,0.39067,0.22499,0.77735,0.99172,0.97875,0.98685,0.8561,0.51415,0.25541,0.78575,8.50255e-05,8.50255e-05,8.50255e-05
97,1518.98,0.39162,0.22322,0.77313,0.99052,0.97934,0.98686,0.85804,0.51171,0.25633,0.78541,7.08784e-05,7.08784e-05,7.08784e-05
98,1534.34,0.38077,0.22052,0.77275,0.98827,0.97642,0.98679,0.85053,0.5166,0.25596,0.78525,5.67313e-05,5.67313e-05,5.67313e-05
99,1549.73,0.37797,0.21828,0.77038,0.9897,0.97802,0.987,0.85994,0.49987,0.25278,0.78448,4.25842e-05,4.25842e-05,4.25842e-05
100,1565.1,0.3755,0.21853,0.77325,0.99247,0.97569,0.9871,0.8563,0.50579,0.25266,0.78464,2.84371e-05,2.84371e-05,2.84371e-05
